model,mode,accuracy,balanced_accuracy,macro_f1,inside_accuracy,outside_accuracy,near_accuracy,overgeneralization_rate,unnecessary_clarification_rate,twin_exact_match,twin_discrimination_accuracy,n_examples
Flat Fact Memory,local_baseline,66.66666666666666,33.33333333333333,26.66666666666666,100.0,0.0,0.0,100.0,0.0,33.33333333333333,0.0,1152
FrontierMem-Lite (Rules),local_baseline,97.13541666666666,95.703125,95.47838731479949,98.56770833333334,94.27083333333334,94.27083333333334,0.0,1.97916666666666,94.27083333333334,98.17708333333334,1152
Query-Only TF-IDF,local_baseline,63.541666666666664,52.734375,51.011680421773264,74.34895833333334,17.70833333333333,66.14583333333334,82.29166666666666,13.22916666666666,30.208333333333332,0.0,1152
Qwen2.5-0.5B-Instruct,legacy_full_llm,33.33333333333333,33.33333333333333,16.66666666666666,0.0,0.0,100.0,0.0,100.0,0.0,0.0,72
Qwen2.5-1.5B-Instruct,full_llm,33.33333333333333,33.33333333333333,16.66666666666666,0.0,100.0,0.0,0.0,0.0,0.0,0.0,72
Qwen2.5-1.5B-Instruct,gold_memory_llm,62.5,62.500000000000014,60.04021330535886,100.0,29.166666666666668,58.333333333333336,58.333333333333336,6.25,66.66666666666666,66.66666666666666,72
Qwen2.5-1.5B-Instruct,llm_memory_rule,66.66666666666666,66.66666666666666,65.34647757408048,83.33333333333334,37.5,79.16666666666666,12.5,33.33333333333333,33.33333333333333,66.66666666666666,72
Qwen2.5-1.5B-Instruct,rule_memory_llm,70.83333333333334,70.83333333333334,68.44532279314888,100.0,33.33333333333333,79.16666666666666,54.166666666666664,6.25,100.0,100.0,72
Qwen2.5-3B-Instruct,gold_memory_llm,75.0,75.0,73.5502,45.8333,79.1667,100.0,4.1667000000000005,27.083299999999998,0.0,0.0,72
Raw Long-Context TF-IDF,local_baseline,79.51388888888889,84.02777777777777,78.02151020541825,75.0,97.91666666666666,79.16666666666666,0.0,0.72916666666666,59.02777777777778,100.0,1152
Tiny Transformer LM (end-to-end heads),local_baseline,66.49305555555556,34.41840277777778,29.572952502449112,98.56770833333334,3.125,1.5625,96.35416666666666,0.41666666666665997,33.33333333333333,5.72916666666666,1152
Tiny Transformer Memory + Rule Policy,local_baseline,93.66319444444444,89.80034722222221,90.92950395996698,97.52604166666666,85.9375,85.9375,8.33333333333333,2.39583333333333,88.02083333333334,89.58333333333334,1152
